date,count,total_count,ratio
2024-01-01,410,6791,0.060374024444117214
2024-01-02,665,10032,0.06628787878787878
2024-01-03,535,7956,0.06724484665661136
2024-01-04,216,3466,0.06231967686093479
2024-01-05,765,11449,0.0668180627129007
2024-01-06,484,7020,0.06894586894586895
2024-01-07,400,7433,0.05381407237992735
2024-01-08,614,11773,0.05215323197146012
2024-01-09,710,12637,0.056184220938513885
2024-01-10,920,13136,0.07003654080389768
2024-01-11,914,13552,0.06744391971664698
2024-01-12,684,11850,0.05772151898734177
2024-01-13,392,6873,0.05703477375236433
2024-01-14,531,6715,0.07907669396872673
2024-01-15,794,10140,0.07830374753451677
2024-01-16,1083,12426,0.0871559633027523
2024-01-17,812,12461,0.06516330952572025
2024-01-18,825,12673,0.0650990294326521
2024-01-19,722,11511,0.06272261315263661
2024-01-20,432,6358,0.06794589493551431
2024-01-21,595,6505,0.09146810146041506
2024-01-22,948,11113,0.08530549806532889
2024-01-23,1015,13747,0.07383429111806213
2024-01-24,1108,12999,0.08523732594814985
2024-01-25,867,12650,0.06853754940711462
2024-01-26,693,11489,0.06031856558447211
2024-01-27,450,6569,0.06850357740904248
2024-01-28,474,6357,0.07456347333647947
2024-01-29,678,11052,0.061346362649294245
2024-01-30,773,12605,0.06132487108290361
2024-01-31,786,13138,0.05982645760389709
2024-02-01,646,13489,0.04789087404551857
2024-02-02,721,12596,0.05724039377580184
2024-02-03,376,6338,0.05932470810981382
2024-02-04,407,6469,0.06291544288143454
2024-02-05,710,11873,0.05979954518655774
2024-02-06,976,12739,0.07661511892613235
2024-02-07,906,13033,0.06951584439499732
2024-02-08,967,13077,0.07394662384338915
2024-02-09,836,11594,0.07210626185958255
2024-02-10,405,7024,0.057659453302961274
2024-02-11,484,7138,0.06780610815354442
2024-02-12,720,10928,0.06588579795021962
2024-02-13,811,12468,0.06504651908886751
2024-02-14,684,12691,0.05389646205972737
2024-02-15,818,13345,0.061296365680029975
2024-02-16,931,12303,0.07567260017881818
2024-02-17,449,6698,0.06703493580173187
2024-02-18,371,5825,0.06369098712446351
2024-02-19,540,8688,0.062154696132596686
2024-02-20,795,12254,0.0648767749306349
2024-02-21,759,13130,0.057806549885757806
2024-02-22,641,12699,0.050476415465784706
2024-02-23,853,11818,0.07217803350820781
2024-02-24,544,7040,0.07727272727272727
2024-02-25,507,6380,0.07946708463949843
2024-02-26,830,11147,0.07445949582847403
2024-02-27,787,12501,0.06295496360291176
2024-02-28,946,13070,0.07237949502677889
2024-02-29,934,13328,0.070078031212485
2024-03-01,676,11349,0.05956471935853379
2024-03-02,364,5921,0.06147610200979564
2024-03-03,366,5592,0.06545064377682404
2024-03-04,828,10237,0.08088307121226922
2024-03-05,834,11752,0.07096664397549353
2024-03-06,1079,11823,0.0912627928613719
2024-03-07,792,11756,0.06736985369173189
2024-03-08,770,11374,0.06769825918762089
2024-03-09,349,6171,0.056554853346297194
2024-03-10,316,6679,0.04731247192693517
2024-03-11,656,11331,0.05789427235018974
2024-03-12,843,11917,0.0707392800201393
2024-03-13,710,11878,0.05977437279003199
2024-03-14,613,12268,0.04996739484838605
2024-03-15,656,11225,0.05844097995545657
2024-03-16,239,5657,0.04224854162983914
2024-03-17,276,5546,0.04976559682654165
2024-03-18,607,9820,0.061812627291242365
2024-03-19,762,11257,0.06769121435551212
2024-03-20,640,11509,0.055608654096793816
2024-03-21,544,11933,0.04558786558283751
2024-03-22,491,11001,0.044632306153986
2024-03-23,264,5716,0.04618614415675298
2024-03-24,262,5504,0.04760174418604651
2024-03-25,639,10170,0.06283185840707965
2024-03-26,583,11190,0.05210008936550491
2024-03-27,570,10887,0.05235602094240838
2024-03-28,548,11143,0.0491788566813246
2024-03-29,447,9026,0.04952359849324175
2024-03-30,282,5533,0.050966925718416774
2024-03-31,203,5184,0.03915895061728395
2024-04-01,436,9363,0.04656627149417922
2024-04-02,682,10907,0.06252865132483726
2024-04-03,528,11231,0.04701273261508325
2024-04-04,601,11432,0.05257172848145556
2024-04-05,521,10739,0.048514759288574356
2024-04-06,273,5710,0.04781085814360771
2024-04-07,217,5550,0.0390990990990991
2024-04-08,593,9534,0.06219844766100273
2024-04-09,519,10841,0.04787381237893183
2024-04-10,649,11767,0.055154244922240164
2024-04-11,570,11430,0.049868766404199474
2024-04-12,631,10506,0.06006091757091186
2024-04-13,276,5725,0.048209606986899564
2024-04-14,311,5434,0.057232241442767756
2024-04-15,651,10555,0.06167693036475604
2024-04-16,715,11469,0.06234196529775918
2024-04-17,617,11516,0.05357763112191733
2024-04-18,649,11620,0.05585197934595525
2024-04-19,560,10226,0.05476237042831997
2024-04-20,308,5875,0.05242553191489362
2024-04-21,326,6019,0.05416182090048181
2024-04-22,678,11159,0.06075813244914419
2024-04-23,732,12130,0.06034624896949711
2024-04-24,767,13038,0.058828041110599784
2024-04-25,734,13226,0.055496748828065934
2024-04-26,598,12127,0.04931145378081966
2024-04-27,309,6683,0.04623672003591202
2024-04-28,326,5999,0.054342390398399734
2024-04-29,428,11313,0.037832581985326616
2024-04-30,653,13033,0.05010358321184685
2024-05-01,644,12699,0.050712654539727536
2024-05-02,720,12968,0.055521283158544106
2024-05-03,641,11456,0.05595321229050279
2024-05-04,261,6276,0.04158699808795411
2024-05-05,298,5953,0.050058793885435916
2024-05-06,600,10949,0.05479952507078272
2024-05-07,729,12911,0.05646348075284641
2024-05-08,712,12878,0.05528808821245535
2024-05-09,716,13227,0.054131700309972025
2024-05-10,660,12436,0.053071727243486654
2024-05-11,286,6369,0.044905008635578586
2024-05-12,297,6054,0.04905847373637265
2024-05-13,652,11749,0.05549408460294493
2024-05-14,805,13305,0.06050357008643367
2024-05-15,782,13208,0.05920654149000606
2024-05-16,725,12888,0.05625387957790193
2024-05-17,602,11341,0.05308173882373688
2024-05-18,302,5856,0.05157103825136612
2024-05-19,377,5929,0.06358576488446618
2024-05-20,700,10928,0.06405563689604685
2024-05-21,820,12438,0.06592699790963177
2024-05-22,762,12817,0.059452289927440116
2024-05-23,712,12633,0.056360326129977045
2024-05-24,572,10951,0.052232672815268014
2024-05-25,318,5985,0.053132832080200504
2024-05-26,264,5443,0.04850266397207422
2024-05-27,295,6939,0.04251333045107364
2024-05-28,703,10947,0.06421850735361286
2024-05-29,763,12020,0.063477537437604
2024-05-30,1159,12624,0.09180925221799746
2024-05-31,1345,11949,0.11256172064607917
2024-06-01,444,6097,0.07282269968837134
2024-06-02,436,6027,0.07234113157458105
2024-06-03,803,11095,0.07237494366831906
2024-06-04,823,12308,0.06686707832304192
2024-06-05,806,12586,0.06403940886699508
2024-06-06,691,12589,0.05488918897450155
2024-06-07,675,11559,0.05839605502206073
2024-06-08,311,6206,0.05011279407025459
2024-06-09,347,6369,0.054482650337572616
2024-06-10,662,11069,0.059806667268949315
2024-06-11,699,12114,0.057701832590391286
2024-06-12,683,12583,0.054279583565127555
2024-06-13,760,12599,0.060322247797444245
2024-06-14,624,11221,0.055610016932537205
2024-06-15,294,5859,0.05017921146953405
2024-06-16,308,5990,0.051419031719532556
2024-06-17,573,10672,0.05369190404797601
2024-06-18,664,12261,0.05415545224696191
2024-06-19,468,9962,0.04697851836980526
2024-06-20,616,11841,0.052022633223545306
2024-06-21,646,11161,0.05788011826897231
2024-06-22,330,5761,0.057281721923277205
2024-06-23,375,5930,0.06323777403035413
2024-06-24,706,11110,0.06354635463546354
2024-06-25,723,12151,0.05950127561517571
2024-06-26,701,12227,0.05733213380224094
2024-06-27,1005,12814,0.07842984235991884
2024-06-28,1501,11905,0.1260814783704326
2024-06-29,477,6164,0.07738481505515898
2024-06-30,447,6453,0.06927010692701069
2024-07-01,986,11359,0.08680341579364381
2024-07-02,943,11742,0.08030999829671266
2024-07-03,944,11332,0.0833039181080127
2024-07-04,497,7867,0.06317528918266176
2024-07-05,805,9570,0.08411703239289446
2024-07-06,450,5815,0.07738607050730868
2024-07-07,399,5573,0.07159519109994616
2024-07-08,822,10344,0.07946635730858469
2024-07-09,972,11497,0.08454379403322605
2024-07-10,1038,12586,0.08247258859049737
2024-07-11,1061,11768,0.09015975526852481
2024-07-12,936,11258,0.08314087759815242
2024-07-13,887,6420,0.13816199376947041
2024-07-14,1661,6764,0.24556475458308694
2024-07-15,2228,11317,0.19687196253424052
2024-07-16,1920,12730,0.15082482325216026
2024-07-17,1862,12786,0.14562803065853278
2024-07-18,1786,12391,0.14413687353724478
2024-07-19,1414,11124,0.12711254944264652
2024-07-20,642,5620,0.11423487544483986
2024-07-21,1307,6648,0.19660048134777378
2024-07-22,1856,11112,0.16702663786897048
2024-07-23,1379,12072,0.1142312789927104
2024-07-24,1198,12790,0.09366692728694292
2024-07-25,1034,12582,0.08218089333969163
2024-07-26,887,11741,0.07554722766374244
2024-07-27,513,6579,0.07797537619699042
2024-07-28,492,6273,0.0784313725490196
2024-07-29,673,8724,0.07714351215038973
2024-07-30,998,11393,0.08759764767839902
2024-07-31,988,12534,0.07882559438327749
2024-08-01,782,12304,0.06355656697009103
2024-08-02,797,11218,0.07104653235870921
2024-08-03,457,6374,0.0716975211797929
2024-08-04,404,6016,0.06715425531914894
2024-08-05,768,11271,0.06813947298376365
2024-08-06,954,12365,0.07715325515568136
2024-08-07,823,12891,0.0638429912341944
2024-08-08,850,12256,0.0693537859007833
2024-08-09,798,11234,0.07103435997863629
2024-08-10,423,6530,0.06477794793261868
2024-08-11,403,5837,0.06904231625835189
2024-08-12,847,10296,0.08226495726495726
2024-08-13,960,11230,0.0854853072128228
2024-08-14,838,11671,0.07180190215062976
2024-08-15,831,11673,0.07118992546903109
2024-08-16,834,10664,0.07820705176294074
2024-08-17,421,5721,0.07358853347316903
2024-08-18,434,5592,0.07761087267525035
2024-08-19,943,10371,0.09092662231221676
2024-08-20,1182,11617,0.1017474390978738
2024-08-21,1216,11869,0.10245176510236752
2024-08-22,1217,12059,0.10092047433452193
2024-08-23,1218,11102,0.10970996216897856
2024-08-24,422,5971,0.07067492882264277
2024-08-25,386,5700,0.06771929824561404
2024-08-26,876,10505,0.08338886244645408
2024-08-27,974,12342,0.07891751742019122
2024-08-28,933,12618,0.07394198763670946
2024-08-29,924,12880,0.07173913043478261
2024-08-30,786,11516,0.06825286557832581
2024-08-31,405,6837,0.05923650724001755
2024-09-01,343,6393,0.053652432347880495
2024-09-02,418,7935,0.05267800882167612
2024-09-03,755,11383,0.06632697882807696
2024-09-04,884,12733,0.06942590120160214
2024-09-05,1032,14654,0.07042445748601064
2024-09-06,1020,13988,0.07291964541035173
2024-09-07,466,8191,0.05689171041386888
2024-09-08,542,8258,0.06563332526035359
2024-09-09,1126,13985,0.08051483732570612
2024-09-10,1652,14900,0.11087248322147651
2024-09-11,2218,14395,0.15408127822160472
2024-09-12,1476,14913,0.09897404948702475
2024-09-13,1232,13527,0.09107710504916093
2024-09-14,494,7530,0.06560424966799469
2024-09-15,807,8237,0.0979725628262717
2024-09-16,1555,13351,0.11647067635383117
2024-09-17,1329,14293,0.09298257888476877
2024-09-18,1239,14689,0.0843488324596637
2024-09-19,1198,14219,0.08425346367536395
2024-09-20,1197,13066,0.09161181692943518
2024-09-21,581,7496,0.07750800426894344
2024-09-22,648,7789,0.08319424829888304
2024-09-23,1109,12963,0.0855511841394739
2024-09-24,1210,14221,0.08508543702974475
2024-09-25,1226,14579,0.08409355922902806
2024-09-26,1115,14535,0.07671138630890953
2024-09-27,967,13526,0.0714919414461038
2024-09-28,441,7650,0.05764705882352941
2024-09-29,499,7933,0.06290180259674777
2024-09-30,1028,13843,0.07426135953189338
2024-10-01,1156,15011,0.07701019252548132
2024-10-02,1255,14569,0.08614180794838355
2024-10-03,1039,14031,0.07405031715487136
2024-10-04,976,13039,0.07485236597898612
2024-10-05,566,7317,0.07735410687440207
2024-10-06,554,7701,0.07193870925853785
2024-10-07,917,12812,0.0715735248204808
2024-10-08,1106,14582,0.0758469345768756
2024-10-09,984,14592,0.06743421052631579
2024-10-10,1150,14546,0.07905953526742747
2024-10-11,1134,12860,0.08818040435458786
2024-10-12,565,7137,0.079164915230489
2024-10-13,668,7440,0.08978494623655914
2024-10-14,1087,12497,0.08698087541009843
2024-10-15,1264,14349,0.0880897623527772
2024-10-16,1404,14601,0.09615779741113623
2024-10-17,1245,14742,0.08445258445258445
2024-10-18,1194,13535,0.08821573697820466
2024-10-19,620,7525,0.0823920265780731
2024-10-20,677,7909,0.0855986850423568
2024-10-21,1339,13514,0.09908243303241084
2024-10-22,1453,14636,0.0992757584039355
2024-10-23,1510,15038,0.10041228886820056
2024-10-24,1469,14632,0.10039639147074904
2024-10-25,1694,13998,0.1210172881840263
2024-10-26,833,7854,0.10606060606060606
2024-10-27,861,7795,0.1104554201411161
2024-10-28,1619,13280,0.12191265060240963
2024-10-29,1720,13934,0.12343906990096168
2024-10-30,1786,14780,0.12083897158322057
2024-10-31,1646,14511,0.11343119013162428
2024-11-01,1743,13845,0.12589382448537378
2024-11-02,980,8378,0.11697302458820721
2024-11-03,1080,7941,0.1360030222893842
2024-11-04,2053,14317,0.14339596284137737
2024-11-05,3021,16921,0.17853554754447137
2024-11-06,4092,16983,0.2409468291821233
2024-11-07,2474,15579,0.15880351755568392
2024-11-08,1994,14707,0.13558169579111987
2024-11-09,899,8215,0.10943396226415095
2024-11-10,899,8362,0.10751016503228893
2024-11-11,1652,13032,0.12676488643339473
2024-11-12,1933,15297,0.12636464666274433
2024-11-13,2262,15814,0.14303781459466294
2024-11-14,1754,15943,0.11001693533212067
2024-11-15,1595,14261,0.11184348923637893
